desired_radius	time
0.03000000	79.50000000
0.03100000	121.66666667
0.03200000	100.66666667
0.03300000	112.50000000
0.03400000	94.50000000
0.03500000	99.00000000
0.03600000	87.83333333
0.03700000	181.66666667
0.03800000	208.83333333
0.03900000	227.33333333
0.04000000	165.33333333
0.04100000	198.66666667
0.04200000	172.00000000
0.04300000	158.00000000
0.04400000	241.50000000
0.04500000	188.83333333
0.04600000	290.83333333
0.04700000	276.16666667
0.04800000	250.16666667
0.04900000	360.83333333
0.05000000	246.66666667
0.05100000	299.33333333
0.05200000	309.83333333
0.05300000	271.50000000
0.05400000	323.83333333
0.05500000	431.66666667
0.05600000	343.83333333
0.05700000	367.66666667
0.05800000	425.33333333
0.05900000	519.66666667
0.06000000	365.83333333
