microtubule_length	collision_time
0.10000000	140.00000000
0.20000000	153.66666667
0.30000000	123.00000000
0.30000000	126.00000000
0.40000000	127.00000000
0.50000000	128.41666667
0.60000000	70.47916667
0.60000000	58.58333333
0.70000000	61.00000000
0.80000000	82.45833333
0.90000000	66.83333333
0.90000000	81.55555556
1.00000000	52.12592593
1.10000000	47.09682540
1.20000000	58.06666667
1.20000000	51.48333333
1.30000000	46.80000000
1.40000000	43.60317460
1.50000000	28.62037037
1.60000000	37.73611111
1.70000000	43.31785714
1.80000000	37.74074074
1.80000000	29.33809524
1.90000000	28.84612795
2.00000000	30.50462963
2.10000000	25.28148148
2.40000000	19.03675214
2.70000000	26.72664835
3.00000000	20.24841270
3.30000000	20.04624542
3.60000000	15.57837302
3.90000000	20.13333333
4.20000000	14.62982456
4.50000000	15.13888889
4.80000000	12.82789855
5.10000000	13.36643112
5.40000000	12.77651515
5.70000000	12.98333333
6.00000000	10.56980899
