number_of_particles	speed	collision_time
200.00000000	0.15925081	41.59523810
210.00000000	0.15918201	38.83148148
220.00000000	0.15903213	40.07539683
230.00000000	0.15883685	28.39629630
240.00000000	0.15910340	30.27037037
250.00000000	0.15915731	37.51018519
260.00000000	0.15906363	29.00841751
270.00000000	0.15910831	19.59839744
280.00000000	0.15877808	17.09313725
290.00000000	0.15923119	22.41666667
300.00000000	0.15894911	20.35897436
310.00000000	0.15882904	20.90079365
320.00000000	0.15898683	18.36414566
330.00000000	0.15878397	14.74658869
340.00000000	0.15886017	15.09774436
350.00000000	0.15891416	13.34823389
360.00000000	0.15880774	13.31529582
370.00000000	0.15883237	12.33635266
380.00000000	0.15887532	12.85209235
390.00000000	0.15872782	11.64957265
400.00000000	0.15862061	10.29761905
410.00000000	0.15859995	11.00284900
420.00000000	0.15877932	10.70329670
430.00000000	0.15859965	10.11155203
440.00000000	0.15865096	9.28793567
450.00000000	0.15855676	8.74370821
460.00000000	0.15853270	9.10306097
470.00000000	0.15854381	8.12696008
480.00000000	0.15848465	7.83794422
490.00000000	0.15848748	8.12317748
500.00000000	0.15845642	7.31894934
510.00000000	0.15833447	7.19047619
520.00000000	0.15832976	7.37222222
530.00000000	0.15846895	6.08975787
540.00000000	0.15837745	6.80470867
550.00000000	0.15847508	6.10257320
560.00000000	0.15832854	5.80221665
570.00000000	0.15842485	6.02344211
580.00000000	0.15825384	5.71303624
590.00000000	0.15819425	5.27508805
600.00000000	0.15831354	5.23153753
