diffusion	speed	collision_time
0.00000010	0.00504514	86.16666667
0.00000060	0.01235553	63.44666667
0.00000110	0.01671558	49.32380952
0.00000160	0.02017117	41.72614087
0.00000210	0.02308416	36.80461310
0.00000260	0.02566737	26.57872475
0.00000310	0.02803540	27.96323486
0.00000360	0.03019714	22.58458937
0.00000410	0.03220690	22.39904080
0.00000460	0.03412075	20.04921490
0.00000510	0.03591087	17.65461432
0.00000560	0.03762683	16.93568622
0.00000610	0.03926884	18.22788731
0.00000660	0.04084361	16.07513741
0.00000710	0.04235756	17.00189237
0.00000760	0.04385290	17.53761165
0.00000810	0.04523768	15.82190617
0.00000860	0.04660772	15.92376107
0.00000910	0.04796183	15.64563415
0.00000960	0.04921304	15.95003277
