board_size	number_of_particles	collision_time
3.00000000	50.00000000	66.16666667
3.60000000	86.00000000	92.16666667
4.20000000	137.00000000	26.22587413
4.80000000	204.00000000	27.87202381
5.40000000	291.00000000	15.79615385
6.00000000	400.00000000	11.28024955
6.60000000	532.00000000	7.70319279
7.20000000	691.00000000	6.15471315
7.80000000	878.00000000	5.19359838
8.40000000	1097.00000000	4.37109187
9.00000000	1350.00000000	3.61881984
9.60000000	1638.00000000	3.00567989
10.20000000	1965.00000000	2.40330816
10.80000000	2332.00000000	1.99411545
11.40000000	2743.00000000	1.71714207
12.00000000	3200.00000000	1.44790970
